cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00694,2026-04-08,2020-10-10,186,953244.5,576857.25,3,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00091,2026-03-09,2022-06-22,24,230550.0,140580.0,33,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00076,2026-02-07,2020-07-30,86,212750.0,101488.8,63,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00086,2026-01-07,2020-09-25,34,210750.0,123907.9,94,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00019,2026-02-21,2024-04-09,16,166600.0,84579.0,49,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00472,2026-01-02,2022-10-08,16,135950.0,72826.0,99,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00615,2024-05-06,2020-08-06,22,120250.0,72021.2,705,[已隱蔽],,一般,3,5,5,13,Others
CUS_00333,2025-10-16,2021-02-08,11,116750.0,51498.5,177,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00199,2025-12-18,2021-07-23,12,101450.0,60924.0,114,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00558,2025-04-29,2020-08-12,16,99900.0,57785.8,347,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00682,2026-04-10,2020-07-03,97,97660.0,43853.6,1,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00066,2024-07-31,2020-11-02,11,88200.0,38594.8,619,[已隱蔽],,一般,3,5,5,13,Others
CUS_00733,2026-01-30,2020-08-26,36,86300.0,52187.0,71,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00555,2026-01-29,2021-01-16,23,86200.0,40446.4,72,[已隱蔽],[已隱蔽],一般,5,5,5,15,Champions 黃金客
CUS_00630,2026-02-03,2020-09-23,39,84960.0,37055.0,67,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00254,2026-01-20,2020-09-07,17,82350.0,43897.5,81,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00674,2024-12-17,2020-07-15,6,76750.0,49970.0,480,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00026,2023-06-28,2023-02-23,6,76650.0,50405.2,1018,[已隱蔽],,一般,3,5,5,13,Others
CUS_00561,2026-04-11,2021-03-01,16,76100.0,43207.0,0,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00031,2025-06-28,2020-09-12,12,74150.0,39553.9,287,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00171,2023-08-08,2019-12-16,7,61150.0,31460.0,977,[已隱蔽],,一般,3,5,5,13,Others
CUS_00656,2026-04-01,2020-12-05,45,61100.0,31072.0,10,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00032,2025-11-04,2020-12-30,7,54450.0,23347.0,158,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00365,2026-01-17,2021-01-09,15,49350.0,31595.5,84,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00197,2023-05-19,2020-12-24,11,47050.0,29431.6,1058,[已隱蔽],,一般,2,5,5,12,At Risk 流失中
CUS_00533,2026-03-06,2020-12-10,37,47035.0,23315.0,36,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00132,2026-04-04,2020-08-26,18,43330.0,22077.0,7,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00054,2024-06-15,2021-09-08,5,39750.0,17200.0,665,[已隱蔽],,一般,3,5,5,13,Others
CUS_00665,2022-07-05,2021-01-05,2,39000.0,13360.0,1376,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00622,2024-08-27,2022-01-30,6,38710.0,23938.0,592,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00021,2022-01-23,2020-10-26,9,38250.0,20581.6,1539,[已隱蔽],,一般,1,5,5,11,At Risk 流失中
CUS_00471,2024-08-02,2021-09-28,5,36500.0,23320.0,617,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00189,2021-08-11,2020-10-15,3,35300.0,16664.5,1704,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00731,2023-08-02,2021-01-08,5,34950.0,20376.0,983,[已隱蔽],,一般,3,5,5,13,Others
CUS_00396,2025-12-31,2024-07-26,6,34500.0,16800.0,101,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00133,2025-11-19,2021-09-30,5,33400.0,13845.0,143,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00231,2023-12-16,2021-07-22,10,33250.0,21869.0,847,[已隱蔽],,一般,3,5,5,13,Others
CUS_00107,2023-06-26,2023-06-26,1,33250.0,15035.0,1020,[已隱蔽],,一般,3,2,5,10,Others
CUS_00478,2022-11-08,2021-12-04,5,32700.0,17207.0,1250,[已隱蔽],,一般,2,5,5,12,At Risk 流失中
CUS_00047,2024-07-31,2023-09-26,3,32700.0,15520.0,619,[已隱蔽],,一般,3,4,5,12,Others
CUS_00308,2023-10-10,2023-08-14,2,31820.0,15536.0,914,[已隱蔽],,一般,3,4,5,12,Others
CUS_00557,2024-03-15,2021-10-29,9,31300.0,14830.0,757,[已隱蔽],,一般,3,5,5,13,Others
CUS_00494,2026-03-16,2026-03-16,1,31000.0,17500.0,26,[已隱蔽],,一般,5,2,5,12,New 新客
CUS_00181,2024-12-25,2021-03-08,5,30850.0,13975.0,472,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00283,2024-08-22,2021-02-04,3,30700.0,17260.0,597,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
